year;areakm;municipality;geocode_ibge;state
2016;0,3131881169065703;Canutama;1300904;Amazonas
2017;0,4539016965812317;Canutama;1300904;Amazonas
2018;0,4539016965812317;Canutama;1300904;Amazonas
2019;2,0676917088992326;Canutama;1300904;Amazonas
2020;0,46871454958425374;Canutama;1300904;Amazonas
2021;1,1704906108565027;Canutama;1300904;Amazonas
2022;4,076499187236322;Canutama;1300904;Amazonas
2023;1,3488641817975142;Canutama;1300904;Amazonas
2000;0,40296537677358757;Carauari;1301001;Amazonas
2001;0,02147624565983544;Carauari;1301001;Amazonas
2002;0,02147624565983544;Carauari;1301001;Amazonas
2003;0,01318350370340492;Carauari;1301001;Amazonas
2004;0,01318350370340492;Carauari;1301001;Amazonas
2005;0;Carauari;1301001;Amazonas
2006;0;Carauari;1301001;Amazonas
2007;0,014737992621482988;Carauari;1301001;Amazonas
2008;0,014737992621482988;Carauari;1301001;Amazonas
2009;0;Carauari;1301001;Amazonas
2010;0;Carauari;1301001;Amazonas
2011;0;Carauari;1301001;Amazonas
2012;0;Carauari;1301001;Amazonas
2013;0;Carauari;1301001;Amazonas
2014;0,0293813877754355;Carauari;1301001;Amazonas
2015;0;Carauari;1301001;Amazonas
2016;0;Carauari;1301001;Amazonas
2017;0;Carauari;1301001;Amazonas
2018;0;Carauari;1301001;Amazonas
2019;0;Carauari;1301001;Amazonas
2020;0;Carauari;1301001;Amazonas
2021;0;Carauari;1301001;Amazonas
2022;0;Carauari;1301001;Amazonas
2023;0;Carauari;1301001;Amazonas
2000;11,922938718432183;Careiro;1301100;Amazonas
2001;0,874787638651634;Careiro;1301100;Amazonas
2002;0,874787638651634;Careiro;1301100;Amazonas
2003;0,660558028489832;Careiro;1301100;Amazonas
2004;0,660558028489832;Careiro;1301100;Amazonas
2005;0,37439162223193617;Careiro;1301100;Amazonas
2006;0,37439162223193617;Careiro;1301100;Amazonas
2007;0,13366660412489;Careiro;1301100;Amazonas
2008;0,13366660412489;Careiro;1301100;Amazonas
2009;0,6708850412506412;Careiro;1301100;Amazonas
2010;0,6708850412506412;Careiro;1301100;Amazonas
2011;0,4837199689649745;Careiro;1301100;Amazonas
2012;0,4837199689649745;Careiro;1301100;Amazonas
2013;0,4837199689649745;Careiro;1301100;Amazonas
2014;0,11287524388520921;Careiro;1301100;Amazonas
2015;0,13134361568036584;Careiro;1301100;Amazonas
2016;0,13134361568036584;Careiro;1301100;Amazonas
2017;0,10675797023311434;Careiro;1301100;Amazonas
2018;0,10675797023311434;Careiro;1301100;Amazonas
2019;0;Careiro;1301100;Amazonas
2020;0,012035883868006058;Careiro;1301100;Amazonas
2021;0,05531128269284913;Careiro;1301100;Amazonas
2022;0,07357331470215855;Careiro;1301100;Amazonas
2023;0,07373004677620638;Careiro;1301100;Amazonas
2000;216,9869666779622;Careiro da Várzea;1301159;Amazonas
2001;12,84840803010945;Careiro da Várzea;1301159;Amazonas
2002;12,84840803010945;Careiro da Várzea;1301159;Amazonas
2003;5,671399436411245;Careiro da Várzea;1301159;Amazonas
2004;5,671399436411245;Careiro da Várzea;1301159;Amazonas
2005;10,130835342897548;Careiro da Várzea;1301159;Amazonas
2006;10,130835342897548;Careiro da Várzea;1301159;Amazonas
2007;2,7236539179660397;Careiro da Várzea;1301159;Amazonas
2008;2,7236539179660397;Careiro da Várzea;1301159;Amazonas
2009;6,273724875881491;Careiro da Várzea;1301159;Amazonas
2010;6,273724875881491;Careiro da Várzea;1301159;Amazonas
2011;2,1770534426480284;Careiro da Várzea;1301159;Amazonas
2012;2,1770534426480284;Careiro da Várzea;1301159;Amazonas
2013;2,1770534426480284;Careiro da Várzea;1301159;Amazonas
2014;1,0832597402232955;Careiro da Várzea;1301159;Amazonas
2015;2,8147831679629713;Careiro da Várzea;1301159;Amazonas
2016;2,8147831679629713;Careiro da Várzea;1301159;Amazonas
2017;2,5692993989595982;Careiro da Várzea;1301159;Amazonas
2018;2,5692993989595982;Careiro da Várzea;1301159;Amazonas
2019;2,574165265944785;Careiro da Várzea;1301159;Amazonas
2020;6,512761006150412;Careiro da Várzea;1301159;Amazonas
2021;3,2727902520754326;Careiro da Várzea;1301159;Amazonas
2022;2,9915455927161823;Careiro da Várzea;1301159;Amazonas
2023;1,8386697473886624;Careiro da Várzea;1301159;Amazonas
2000;3,020191095720415;Coari;1301209;Amazonas
2001;0,5438494739081754;Coari;1301209;Amazonas
2002;0,5438494739081754;Coari;1301209;Amazonas
2003;0,072199018363404;Coari;1301209;Amazonas
2004;0,072199018363404;Coari;1301209;Amazonas
2005;0,10860845440790898;Coari;1301209;Amazonas
2006;0,10860845440790898;Coari;1301209;Amazonas
2007;0,1798863174245799;Coari;1301209;Amazonas
2008;0,1798863174245799;Coari;1301209;Amazonas
2009;0,10576825201437552;Coari;1301209;Amazonas
2010;0,10576825201437552;Coari;1301209;Amazonas
2011;0,07829171402238004;Coari;1301209;Amazonas
2012;0,07829171402238004;Coari;1301209;Amazonas
2013;0,07829171402238004;Coari;1301209;Amazonas
2014;0,7166013838828075;Coari;1301209;Amazonas
2015;0,0648933484562746;Coari;1301209;Amazonas
2016;0,0648933484562746;Coari;1301209;Amazonas
2017;0,06883580844257926;Coari;1301209;Amazonas
2018;0,06883580844257926;Coari;1301209;Amazonas
2019;0,24201818428153812;Coari;1301209;Amazonas
2020;0,056543497772431006;Coari;1301209;Amazonas
2021;0,13438459466971878;Coari;1301209;Amazonas
2022;0,15748594004509645;Coari;1301209;Amazonas
2023;0,0348601728195014;Coari;1301209;Amazonas
2000;0,8483678862194476;Codajás;1301308;Amazonas
2001;0,047427654894655884;Codajás;1301308;Amazonas
2002;0,047427654894655884;Codajás;1301308;Amazonas
2003;0,0333192506338133;Codajás;1301308;Amazonas
2004;0,0333192506338133;Codajás;1301308;Amazonas
2005;0,04388767378598409;Codajás;1301308;Amazonas
2006;0,04388767378598409;Codajás;1301308;Amazonas
2007;0,022990096827491407;Codajás;1301308;Amazonas
2008;0,022990096827491407;Codajás;1301308;Amazonas
2009;0,024589177871535684;Codajás;1301308;Amazonas
2010;0,024589177871535684;Codajás;1301308;Amazonas
2011;0,008340349415073715;Codajás;1301308;Amazonas
2012;0,008340349415073715;Codajás;1301308;Amazonas
2013;0,008340349415073715;Codajás;1301308;Amazonas
2014;0,044698404835646674;Codajás;1301308;Amazonas
2015;0,07555495684811925;Codajás;1301308;Amazonas
2016;0,07555495684811925;Codajás;1301308;Amazonas
2017;0,08853923362034885;Codajás;1301308;Amazonas
2018;0,08853923362034885;Codajás;1301308;Amazonas
2019;0,04978560156791378;Codajás;1301308;Amazonas
2020;0,4206079708460421;Codajás;1301308;Amazonas
2021;0,059633256113666225;Codajás;1301308;Amazonas
2022;0,20551887517598605;Codajás;1301308;Amazonas
2023;0,07681759949985786;Codajás;1301308;Amazonas
2000;0;Eirunepé;1301407;Amazonas
2001;0,02775659974683769;Eirunepé;1301407;Amazonas
2002;0,02775659974683769;Eirunepé;1301407;Amazonas
2003;0;Eirunepé;1301407;Amazonas
2004;0;Eirunepé;1301407;Amazonas
2005;0;Eirunepé;1301407;Amazonas
2006;0;Eirunepé;1301407;Amazonas
2007;0;Eirunepé;1301407;Amazonas
2008;0;Eirunepé;1301407;Amazonas
2009;0;Eirunepé;1301407;Amazonas
2010;0;Eirunepé;1301407;Amazonas
2011;0;Eirunepé;1301407;Amazonas
2012;0;Eirunepé;1301407;Amazonas
2013;0;Eirunepé;1301407;Amazonas
2014;0;Eirunepé;1301407;Amazonas
2015;0;Eirunepé;1301407;Amazonas
