year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,8.0,0.0,0.3,43.7,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,8.0,0.0,0.3,44.3,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,8.0,0.0,0.3,103.2,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,8.0,0.0,0.3,21.5,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,10.0,9.1,0.0,8.2,"0,03816654532211613"
2020,2,SANTO ANTONIO DO ICA,0.0,,,,,0
2020,2,SAO GABRIEL DA CACHOEIRA,5.0,,,,,0
2020,2,SAO PAULO DE OLIVENCA,3.0,,,,,"0,02822452702261135"
2020,2,SAO SEBASTIAO DO UATUMA,1.0,,,,,"0,04144927341110398"
2020,2,SILVES,0.0,,,,,"0,5912688068283023"
2020,2,TABATINGA,2.0,,,,,0
2020,2,TAPAUA,0.0,,,,,"0,1372818034857458"
2020,2,TEFE,4.0,,,,,0
2020,2,TONANTINS,0.0,9.0,0.0,0.1,13.4,"0,02335801536036927"
2020,2,TONANTINS,0.0,2.0,0.0,0.0,8.3,"0,02335801536036927"
2020,2,UARINI,0.0,3.0,0.0,0.0,23.9,0
2020,2,UARINI,0.0,3.0,0.0,0.0,24.1,0
2020,2,UARINI,0.0,6.0,0.2,0.0,15.8,0
2020,2,UARINI,0.0,6.0,0.2,0.0,16.0,0
2020,2,URUCARA,0.0,,,,,"1,5470729402298644"
2020,2,URUCURITUBA,1.0,,,,,"4,106294031873695"
2020,2,,120.0,,,,,
2020,3,ALVARAES,0.0,,,,,0
2020,3,AMATURA,0.0,,,,,"0,0930053529973859"
2020,3,ANAMA,0.0,,,,,"0,014931801211841986"
2020,3,ANORI,0.0,,,,,0
2020,3,APUI,0.0,,,,,"0,3544249085385369"
2020,3,ATALAIA DO NORTE,0.0,,,,,0
2020,3,AUTAZES,1.0,,,,,"1,9799903594270607"
2020,3,BARCELOS,2.0,0.0,0.0,0.0,13.1,"0,04148981453375254"
2020,3,BARCELOS,2.0,10.0,0.0,0.7,98.2,"0,04148981453375254"
2020,3,BARCELOS,2.0,11.0,0.0,0.7,42.8,"0,04148981453375254"
2020,3,BARCELOS,2.0,10.0,0.0,0.7,89.5,"0,04148981453375254"
2020,3,BARCELOS,2.0,11.0,0.0,0.7,65.3,"0,04148981453375254"
2020,3,BARCELOS,2.0,4.0,0.0,0.5,11.3,"0,04148981453375254"
2020,3,BARCELOS,2.0,0.0,0.2,0.0,21.4,"0,04148981453375254"
2020,3,BARCELOS,2.0,0.0,0.2,0.0,33.6,"0,04148981453375254"
2020,3,BARREIRINHA,3.0,,,,,"2,183244195510642"
2020,3,BENJAMIN CONSTANT,5.0,,,,,0
2020,3,BOA VISTA DO RAMOS,0.0,,,,,"8,11497582898325"
2020,3,BOCA DO ACRE,3.0,,,,,"0,1455113343211346"
2020,3,BORBA,1.0,0.0,1.2,0.0,7.1,"0,09713531122790045"
2020,3,BORBA,1.0,2.0,0.0,0.0,19.4,"0,09713531122790045"
2020,3,CAAPIRANGA,0.0,,,,,"0,4706301730785048"
2020,3,CANUTAMA,0.0,,,,,"0,46871454958425374"
2020,3,CARAUARI,1.0,,,,,0
2020,3,CAREIRO,0.0,5.0,0.0,0.0,12.3,"0,012035883868006058"
